rank	token_id	decoded	greek_count	share_of_greek_mass_pct	has_greek_mono	has_greek_poly	has_latin
103	8976	ζ	2124666	0.21183172527928548	true	false	false
104	10273	αρ	2102416	0.20961337383606377	true	false	false
105	20424	επι	2088623	0.20823819534364324	true	false	false
106	6789	να	2082817	0.20765933024344793	true	false	false
107	17544	οι	2076262	0.20700578895309654	true	false	false
108	23350	μια	2067994	0.20618145952691422	true	false	false
109	20087	με	2047008	0.20408913038590518	true	false	false
110	8109	ξ	2032712	0.20266380219568955	true	false	false
111	22700	ότι	2027314	0.20212561518038571	true	false	false
112	5087	ερ	2022157	0.20161145615150056	true	false	false
113	14031	λα	2000081	0.1994104527150708	true	false	false
114	5749	πο	1978457	0.19725451421582466	true	false	false
115	20713	τις	1962102	0.19562390127857113	true	false	false
116	15881	ρε	1881304	0.1875682446534283	true	false	false
117	17645	εται	1874998	0.18693952895900331	true	false	false
118	12756	λε	1860315	0.1854756164088539	true	false	false
119	7399	έ	1845152	0.18396384728824397	true	false	false
120	8502	λο	1830924	0.1825452987788436	true	false	false
121	11718	λη	1826124	0.18206673307423846	true	false	false
122	10099	χ	1807277	0.1801876647753441	true	false	false
123	7800	ντ	1789738	0.17843900563095463	true	false	false
124	13757	νη	1765198	0.17599233846616089	true	false	false
125	16177	κα	1764263	0.17589911785495135	true	false	false
126	23509	εξ	1751856	0.17466212520973554	true	false	false
127	14436	λ	1739925	0.1734725903302264	true	false	false
128	19064	ανα	1684319	0.16792860604475285	true	false	false
129	10308	σε	1667341	0.1662358792670891	true	false	false
130	12329	ρά	1651896	0.16469599441133362	true	false	false
131	13363	σει	1632157	0.16272799265233348	true	false	false
132	2298	τ	1627118	0.16222559836368655	true	false	false
133	11813	Ε	1623677	0.16188252657419774	true	false	false
134	11360	τά	1598145	0.15933695583045226	true	false	false
135	12035	εν	1596776	0.15920046490345136	true	false	false
136	21239	σεις	1588570	0.15838231695095348	true	false	false
137	12739	ισ	1577063	0.15723505537535115	true	false	false
138	28440	Α	1558102	0.15534462114097242	true	false	false
139	22217	ικές	1553000	0.15483594567745254	true	false	false
140	23299	ματα	1547671	0.15430463804415237	true	false	false
141	14811	ός	1526938	0.15223753330382359	true	false	false
142	9133	ιο	1505684	0.15011848424430743	true	false	false
143	15468	ά	1477748	0.14733323184350555	true	false	false
144	16610	ρω	1477048	0.14726344101158398	true	false	false
145	17648	αν	1468315	0.146392750532768	true	false	false
146	19278	συν	1463852	0.14594778412867368	true	false	false
147	32590	Η	1446746	0.14424229559888715	true	false	false
148	18095	εν	1444630	0.14403132788410705	true	false	false
149	13338	ρό	1441056	0.14367499583655313	true	false	false
150	63527	ας	1435705	0.1431414947771069	true	false	false
151	20845	αλ	1430395	0.14261208146638746	true	false	false
152	16900	απο	1422235	0.14179851976855873	true	false	false
153	10516	Κ	1417923	0.14136860824392178	true	false	false
154	9957	στη	1415607	0.1411377002914498	true	false	false
155	36742	Ε	1411936	0.14077169722861535	true	false	false
156	30889	θεί	1410185	0.14059712044762293	true	false	false
157	17875	Η	1404139	0.13999432706219736	true	false	false
158	33470	μα	1397924	0.1393746841759222	true	false	false
159	18271	δο	1380566	0.13764407094664388	true	false	false
160	12049	θ	1363773	0.13596978888884512	true	false	false
161	54379	μπορεί	1361572	0.13575034657304597	true	false	false
162	28177	πε	1349968	0.13459341398216307	true	false	false
163	14893	ιν	1348366	0.1344336926782511	true	false	false
164	21828	ικής	1333882	0.13298962066460512	true	false	false
165	27857	άρ	1331467	0.13274884229447564	true	false	false
166	26348	κατά	1325264	0.13213039582246197	true	false	false
167	17661	εκ	1323658	0.1319702757137962	true	false	false
168	3765	ικ	1318770	0.1314829363046066	true	false	false
169	21150	μη	1298913	0.12950316980536825	true	false	false
170	28018	λέ	1281875	0.12780446095639694	true	false	false
171	8326	Α	1278059	0.12742400122123587	true	false	false
