classifier	TP	FP	FN	TN	precision	recall	mass_fraction
is_greek_script (script flag)	1504	3	97709	29421	0.9980092899800929	0.015159303720278593	0.8855806499159756
el-capable (bit 16)	3659	1859	95554	27565	0.6631025733961581	0.03688024754820437	0.9724209065013312
el-poly-capable (bit 22)	3659	1859	95554	27565	0.6631025733961581	0.03688024754820437	0.9724209065013312
either el or el-poly capable	3659	1859	95554	27565	0.6631025733961581	0.03688024754820437	0.9724209065013312
el-capable AND NOT substrate	1500	1	97713	29423	0.9993337774816788	0.015118986423150191	0.8855130714534261
