canonical_key	rank	token_id	decoded	count	share_pct	status	bitmask_popcount	bitmask_signature
grc_Grek	19	1408	' on'	9128	0.007109	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	20	3403	' text'	9113	0.007098	text	27	en,cs,da,de,es,fr,hu,id...+19
grc_Grek	21	1104	'h'	9071	0.007065	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	22	4380	'This'	8844	0.006888	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	23	1454	' with'	8808	0.006860	text	27	en,cs,da,de,es,fr,hu,id...+19
grc_Grek	24	1098	'b'	8384	0.006530	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	25	3422	'ò'	8166	0.006360	text	5	it,pt,vi,nb,ca
grc_Grek	26	15860	' TR'	8065	0.006281	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	27	3541	' word'	7975	0.006211	text	27	en,cs,da,de,es,fr,hu,id...+19
grc_Grek	28	4991	' version'	7770	0.006052	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	29	2015	' up'	7713	0.006007	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	30	25993	' ts'	7679	0.005981	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	31	90443	' Perse'	7514	0.005852	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	32	2435	'은'	6789	0.005288	text	1	ko
grc_Grek	33	1593	' this'	6766	0.005270	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	34	23941	'Mat'	6660	0.005187	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	35	20195	'BM'	6621	0.005157	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	36	22857	' entries'	6576	0.005122	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	37	1747	' all'	6491	0.005055	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	38	1856	'이'	6462	0.005033	text	1	ko
grc_Grek	39	10806	' 저'	6462	0.005033	text	1	ko
grc_Grek	40	8548	' bring'	6451	0.005024	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	41	1635	' par'	6411	0.004993	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	42	2425	' under'	6320	0.004922	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	43	6641	'Click'	6285	0.004895	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	44	25983	' dictionary'	6285	0.004895	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	45	1076	'L'	6249	0.004867	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	46	8361	' frequency'	6223	0.004847	text	27	en,cs,da,de,es,fr,hu,id...+19
grc_Grek	47	22617	'ses'	6223	0.004847	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	48	21767	' statistics'	6223	0.004847	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	49	99912	' Contents'	6130	0.004774	text	28	en,cs,da,de,es,fr,hu,id...+20
grc_Grek	50	4944	'Table'	6120	0.004766	text	28	en,cs,da,de,es,fr,hu,id...+20
