classifier	TP	FP	FN	TN	precision	recall	mass_fraction
en-capable (bit 0)	77014	5229	32781	13613	0.9364201208613498	0.7014344915524386	0.9951267315928092
en-capable AND NOT substrate	74308	3918	35487	14924	0.9499143507273796	0.676788560499112	0.7506723637229721
en-capable AND popcount == 28	68665	3523	41130	15319	0.951196874826841	0.625392777448882	0.6906794097080092
Latin-script (has_latin)	83289	5001	26506	13841	0.9433571185864764	0.7585864565781684	0.7541737881379115
Latin-script AND NOT structural	83287	5001	26508	13841	0.9433558354476259	0.7585682408124231	0.7541440863634815
