token_id	decoded	status	compat_popcount	signature
1019	'\x13'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1020	'\x14'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1021	'\x15'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1022	'\x16'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1023	'\x17'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1024	'\x18'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1025	'\x19'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1026	'\x1a'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1027	'\x1b'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1028	'\x1c'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
