rank	token_id	decoded	count	share_pct	status	compat_popcount	signature
89	6474	'ė'	6239	0.0006	text	1	lt
90	34981	'Fernández'	6229	0.0006	text	8	cs,es,hu,nl,pt,vi,sk,is
91	2592	'ür'	6220	0.0006	text	9	de,es,fr,hu,nl,tr,az,et,ca
92	3422	'ò'	6180	0.0006	text	5	it,pt,vi,nb,ca
93	5513	'ça'	6098	0.0006	text	5	fr,pt,tr,az,ca
94	101282	'Kō'	5932	0.0006	text_with_unmodeled_letters	0	(none)
95	37569	'Ó'	5896	0.0006	text	11	cs,es,hu,nl,pl,pt,vi,nb,sk,ca,is
96	28086	'Å'	5850	0.0006	text	4	da,sv,fi,nb
97	36810	'Sánchez'	5739	0.0006	text	8	cs,es,hu,nl,pt,vi,sk,is
98	7550	'Đ'	5702	0.0006	text	4	vi,sr-Latn,sl,hr
99	57587	'ström'	5663	0.0006	text	9	de,hu,nl,sv,tr,az,fi,et,is
100	39446	'Müller'	5645	0.0006	text	9	de,es,fr,hu,nl,tr,az,et,ca
101	36261	'Martínez'	5601	0.0006	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
102	20543	'Kö'	5523	0.0005	text	9	de,hu,nl,sv,tr,az,fi,et,is
103	6072	'ière'	5475	0.0005	text	4	fr,it,vi,ca
104	34772	'René'	5459	0.0005	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
105	57472	'学校'	5457	0.0005	text	3	zh-Hans,zh-Hant,ja
106	103414	'Shō'	5446	0.0005	text_with_unmodeled_letters	0	(none)
107	4052	'éd'	5428	0.0005	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
108	97238	'ān'	5418	0.0005	text	1	lv
109	9051	'ør'	5355	0.0005	text	2	da,nb
110	51438	'Zürich'	5325	0.0005	text	9	de,es,fr,hu,nl,tr,az,et,ca
111	9132	'öl'	5324	0.0005	text	9	de,hu,nl,sv,tr,az,fi,et,is
112	4624	'ál'	5319	0.0005	text	8	cs,es,hu,nl,pt,vi,sk,is
113	6995	'ül'	5305	0.0005	text	9	de,es,fr,hu,nl,tr,az,et,ca
114	2114	'ê'	5287	0.0005	text	3	fr,pt,vi
115	8475	'ák'	5286	0.0005	text	8	cs,es,hu,nl,pt,vi,sk,is
116	5804	'ís'	5285	0.0005	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
117	4874	'ün'	5138	0.0005	text	9	de,es,fr,hu,nl,tr,az,et,ca
118	7546	'ères'	5133	0.0005	text	4	fr,it,vi,ca
119	3242	'α'	5000	0.0005	text	2	el,el-polyton
120	15904	'Ç'	4999	0.0005	text	5	fr,pt,tr,az,ca
121	116631	'áil'	4857	0.0005	text	8	cs,es,hu,nl,pt,vi,sk,is
122	4210	'ég'	4734	0.0005	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
123	77834	'Pokémon'	4707	0.0005	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
124	10049	'ène'	4672	0.0005	text	4	fr,it,vi,ca
125	123032	'Tō'	4610	0.0005	text_with_unmodeled_letters	0	(none)
126	10684	'小'	4537	0.0005	text	3	zh-Hans,zh-Hant,ja
127	2797	'ô'	4534	0.0005	text	5	fr,pt,vi,nb,sk
128	30773	'Ö'	4532	0.0005	text	9	de,hu,nl,sv,tr,az,fi,et,is
129	35054	'Martín'	4496	0.0004	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
130	33020	'straße'	4484	0.0004	text	1	de
131	85260	'née'	4453	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
132	97213	'čić'	4441	0.0004	text	3	sr-Latn,sl,hr
133	62441	'façade'	4424	0.0004	text	5	fr,pt,tr,az,ca
134	92502	'Fé'	4411	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
135	2884	'ß'	4398	0.0004	text	1	de
136	47865	'Díaz'	4378	0.0004	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
137	63278	'ić'	4350	0.0004	text	4	pl,sr-Latn,sl,hr
138	3903	'ın'	4339	0.0004	text	2	tr,az
139	3272	'ř'	4338	0.0004	text	1	cs
140	48532	'Ø'	4319	0.0004	text	2	da,nb
141	27268	'ști'	4318	0.0004	text	1	ro
142	2930	'ě'	4308	0.0004	text	1	cs
143	38004	'João'	4302	0.0004	text	2	pt,vi
144	3291	'ité'	4301	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
145	106452	'Gdańsk'	4289	0.0004	text	1	pl
146	34394	'Québec'	4277	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
147	32783	"'état"	4277	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
148	87135	'Kraków'	4267	0.0004	text	11	cs,es,hu,nl,pl,pt,vi,nb,sk,ca,is
149	9081	'ías'	4260	0.0004	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
150	2761	'ación'	4241	0.0004	text	11	cs,es,hu,nl,pl,pt,vi,nb,sk,ca,is
151	42069	'Río'	4191	0.0004	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
152	1713	'α'	4170	0.0004	text	2	el,el-polyton
153	87370	'École'	4135	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
154	10525	'ič'	4118	0.0004	text	7	cs,sr-Latn,sl,hr,sk,lt,lv
155	8850	'β'	4099	0.0004	text	2	el,el-polyton
156	4785	'ì'	4063	0.0004	text	2	it,vi
157	4715	'î'	4055	0.0004	text	2	fr,ro
158	55541	'Hernández'	3958	0.0004	text	8	cs,es,hu,nl,pt,vi,sk,is
159	16333	'ór'	3931	0.0004	text	11	cs,es,hu,nl,pl,pt,vi,nb,sk,ca,is
160	17992	'Ş'	3913	0.0004	text	2	tr,az
161	13201	'öt'	3897	0.0004	text	9	de,hu,nl,sv,tr,az,fi,et,is
162	36952	'ík'	3880	0.0004	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
163	49140	'Gómez'	3835	0.0004	text	11	cs,es,hu,nl,pl,pt,vi,nb,sk,ca,is
164	8963	'äl'	3817	0.0004	text	6	de,nl,sv,fi,sk,et
165	37952	'Atlético'	3816	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
166	6771	'ń'	3812	0.0004	text	1	pl
167	8243	'ré'	3809	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
168	21059	'Ré'	3798	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
169	21493	'ël'	3791	0.0004	text	2	fr,nl
170	2900	'ę'	3737	0.0004	text	2	pl,lt
171	16171	'kö'	3715	0.0004	text	9	de,hu,nl,sv,tr,az,fi,et,is
172	9336	'áz'	3708	0.0004	text	8	cs,es,hu,nl,pt,vi,sk,is
173	19139	'če'	3705	0.0004	text	7	cs,sr-Latn,sl,hr,sk,lt,lv
174	44261	'Lé'	3682	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
175	4803	'än'	3611	0.0004	text	6	de,nl,sv,fi,sk,et
176	31296	'öll'	3604	0.0004	text	9	de,hu,nl,sv,tr,az,fi,et,is
177	4081	'át'	3573	0.0004	text	8	cs,es,hu,nl,pt,vi,sk,is
