accuracy,balanced_accuracy,benchmark,binary_macro_f1,choice_nll,correct,correct_answer_bpb,fn,fp,n,subject,tn,tp
0.23783783783783785,,asep_mcqa,,1.607619311143658,44,0.5153617958574445,,,185,0,,
0.2833333333333333,,asep_mcqa,,1.4996490508693274,68,0.5171429724735499,,,240,1,,
0.3375,,asep_mcqa,,1.4216960520476043,54,0.4463807056633965,,,160,2,,
0.23232323232323232,,asep_mcqa,,1.4655535272380378,46,0.49828185336975916,,,198,3,,
0.2627118644067797,,asep_mcqa,,1.5160675676341224,31,0.5315386074412878,,,118,4,,
0.391025641025641,,asep_mcqa,,1.3615997428925213,61,0.4997448190507505,,,156,5,,
0.2601626016260163,,asep_mcqa,,1.4709729485104381,32,0.642152419280173,,,123,6,,
0.2847457627118644,,asep_mcqa,,1.4806877262964455,336,0.5102430437082943,,,1180,__all__,,
0.330550918196995,,demosqa,,1.368819509274996,198,0.45097865829061334,,,599,__all__,,
0.5309278350515464,0.5384162653825575,gpcr,0.5299161230195713,0.7540758325275844,103,0.5551842877031848,33,58,194,__all__,47,56
0.5,0.4375,gpcr,0.4375,0.9286827079296843,6,0.8252110723625481,3,3,12,art forms,1,5
0.4,0.5,gpcr,0.28571428571428575,0.6417480526976208,2,0.4935898795213308,0,3,5,constructions,0,2
0.6666666666666666,0.6666666666666666,gpcr,0.6666666666666666,0.5450536181758667,4,0.583415911266781,1,1,6,customs,2,2
0.3333333333333333,0.5,gpcr,0.25,0.9618259293086079,1,0.7790153346973868,0,2,3,disability,0,1
0.5925925925925926,0.6,gpcr,0.5925925925925926,0.8377768278242442,16,0.6688451293070738,4,7,27,driving,8,8
0.35714285714285715,0.3666666666666667,gpcr,0.35384615384615387,0.7605939979621071,5,0.4985690067307951,6,3,14,everyday objects,2,3
0.2857142857142857,0.29166666666666663,gpcr,0.28571428571428575,0.9425628101897507,2,0.6537209591259705,2,3,7,folklore,1,1
0.8333333333333334,0.9,gpcr,0.7777777777777778,0.6408599551821531,5,0.47934016393747864,0,1,6,industry,4,1
0.8,0.75,gpcr,0.7619047619047619,0.5617765282232382,4,0.5024743923625435,0,1,5,intelligent systems,1,3
1.0,1.0,gpcr,1.0,0.5403253061591903,2,0.6455150090122915,0,0,2,literature,1,1
0.625,0.7,gpcr,0.6190476190476191,0.5972684437788731,5,0.5393152650014523,0,3,8,local flora,2,3
0.5333333333333333,0.5357142857142857,gpcr,0.5333333333333333,0.7234445732338073,8,0.7066003864288076,3,4,15,local foods,4,4
0.5,0.5333333333333333,gpcr,0.5,0.7582689282900692,8,0.614210136263214,2,6,16,local occupations,4,4
0.6,0.6666666666666666,gpcr,0.5833333333333333,0.9136309736030575,3,0.7693527060443931,2,0,5,local products,2,1
0.6666666666666666,0.3333333333333333,gpcr,0.4,0.634728975019855,2,0.46272343863435245,0,1,3,marine navigation,2,0
0.375,0.43333333333333335,gpcr,0.3650793650793651,0.9329012736765666,3,0.5558953956810687,1,4,8,places,1,2
0.5,0.5,gpcr,0.4960767218831734,0.6953770266119061,17,0.4979416840957345,7,10,34,safety,7,10
0.8333333333333334,0.875,gpcr,0.8285714285714285,0.632462564637822,5,0.5008600538760206,0,1,6,sports,3,2
0.5,0.3333333333333333,gpcr,0.3333333333333333,0.8849285897920321,2,0.5772009210490103,1,1,4,waste management,0,2
0.375,0.41666666666666663,gpcr,0.3650793650793651,0.6882595800599551,3,0.5030592652616953,1,4,8,wild life,2,1
0.2458233890214797,,medical_mcqa,,1.71924209843433,103,0.6930756881874887,,,419,__all__,,
0.28125,,medical_mcqa,,1.5506744347707595,18,0.6609661139541964,,,64,anatomy,,
0.23728813559322035,,medical_mcqa,,1.7467326865727755,14,0.7259778282838357,,,59,gynaecology,,
0.1388888888888889,,medical_mcqa,,1.8564055190477307,5,0.7335294575589645,,,36,pathology,,
0.19718309859154928,,medical_mcqa,,1.7742552085660728,14,0.7162999578520417,,,71,pediatrics,,
0.22950819672131148,,medical_mcqa,,1.7717225126448102,14,0.679412147002314,,,61,pharmacology,,
0.27586206896551724,,medical_mcqa,,1.71769797323346,16,0.6754503025840987,,,58,physiology,,
0.3142857142857143,,medical_mcqa,,1.679396752829696,22,0.693368605479404,,,70,surgery,,
0.6493633692458374,0.524215371440805,oyxoy_metaphor,0.49140368453275446,0.6444468298056306,1326,1.4812591850900427,598,118,2042,__all__,1232,94
0.6493633692458374,0.524215371440805,oyxoy_metaphor,0.49140368453275446,0.6444468298056306,1326,1.4812591850900427,598,118,2042,metaphor,1232,94
0.5543478260869565,0.5350745311520264,oyxoy_nli,0.5059701519612378,0.6900397944274234,969,1.4868172907829718,213,566,1748,Contradiction,758,211
0.4502288329519451,0.48109241172251777,oyxoy_nli,0.437296145519397,0.7754633246990987,787,1.5638232122772036,225,736,1748,Entailment,261,526
0.5303203661327232,0.46754736710931954,oyxoy_nli,0.4246918123570106,0.7208904772204368,927,1.5408610877026376,625,196,1748,Unknown,838,89
0.511632341723875,0.49538531572307787,oyxoy_nli,0.49199606983885014,0.728797865448988,2683,1.5305005302542691,1063,1498,5244,__all__,1857,826
0.7613848055038087,0.4983294473348459,oyxoy_wic,0.45149468732183506,0.5673288240014721,41280,1.291161174424364,11882,1055,54217,__all__,41016,264
0.7613848055038087,0.4983294473348459,oyxoy_wic,0.45149468732183506,0.5673288240014721,41280,1.291161174424364,11882,1055,54217,same_sense,41016,264
0.35873587358735876,,oyxoy_wsd_definition,,1.4480152082682554,3587,0.5668102831980684,,,9999,__all__,,
0.35873587358735876,,oyxoy_wsd_definition,,1.4480152082682554,3587,0.5668102831980684,,,9999,definition_selection,,
0.10354691075514874,,oyxoy_nli_exact_set,,,181,,,,1748,__all__,,
