id	token	count
148740	 ἄρ	27544
148741	 ἑκά	27537
148742	 Ἰη	6310
148743	 εἴη	27025
148744	ρῳ	27018
148745	ξαι	26984
148746	ῖα	26972
148747	 τοιοῦ	12897
148748	σασθαι	26885
148749	πρὸς	26735
148750	 ταύτην	26698
148751	"·
"	26665
148752	εἶ	14436
148753	 αὐτῇ	26622
148754	κοῦ	26463
148755	μένον	26372
148756	 ἀνε	26319
148757	 ἕκα	12638
148758	λοῦ	26190
148759	ρὶ	26047
148760	 ἄλλ	13004
148761	 ὑμῖν	25988
148762	μῶν	25950
148763	 ἑαυτοῦ	25908
148764	ὀ	25828
148765	 σῶμα	25774
148766	ῆλ	15143
148767	 ὁρ	25748
148768	στερον	10709
148769	 ἔργ	11480
148770	χον	25388
148771	ρηται	11915
148772	 Ῥωμα	13783
148773	 πολλὰ	25245
148774	 ἀρ	25180
148775	 ὅσα	25133
148776	ῖται	25094
148777	ροις	25049
148778	 Ἰουδα	24974
148779	 Θεῷ	24794
148780	 ἀκού	24794
148781	λοις	24740
148782	 εἶπεν	24665
148783	 κἀ	24488
148784	 ἔλε	24449
148785	̓	24421
148786	 λοιπ	10488
148787	ρᾳ	24308
148788	ρά	24192
148789	 ὃν	24107
148790	 ὀλί	24076
148791	 ἀπα	24004
148792	όμενον	23987
148793	 ἐὰν	23892
148794	μένῳ	23859
148795	 πόλιν	23760
148796	ίᾳ	23640
148797	 ἄλ	13222
148798	ἀλλ	23536
148799	 ψυχῆς	23487
148800	πὸ	11947
148801	 ἀνέ	23454
148802	 ὀφ	5051
148803	άρ	23400
148804	 ἀνθρώπων	23369
148805	 ὅτε	23122
148806	 γῆν	23111
148807	ρεῖν	23036
148808	νοιαν	22991
148809	 ἐπειδὴ	22957
148810	τῇ	22956
148811	 λέγων	22921
148812	 ἐχ	22909
148813	κις	9072
148814	 μό	12396
148815	ἀπο	22849
148816	νῳ	22823
148817	 ὅπερ	22742
148818	 γενέσθαι	22622
148819	ῖος	22610
148820	Ὁ	22580
148821	 εἰρη	22573
148822	ήν	22572
148823	 φησιν	22528
148824	 φύσιν	22513
148825	λέως	3602
148826	 δέ	22448
148827	ρώ	10842
148828	 λέγειν	22308
148829	 ἐντα	2177
148830	ῴ	22252
148831	 ποιεῖ	22178
148832	 ἔχων	22105
148833	 ὃς	22096
148834	 τούτῳ	22070
148835	διον	22053
148836	 πολὺ	22039
148837	 μηδὲν	21988
148838	κατὰ	21927
148839	Εἰ	21856
148840	 πᾶν	21855
148841	ταῖς	21838
148842	ῖοι	21833
148843	 χεῖ	21828
148844	μοὶ	9269
148845	 πᾶσαν	21760
148846	ττον	21714
148847	 μήτε	21695
148848	ὕτη	4904
148849	λεῖν	21433
148850	 ἄνω	21418
148851	ῆσθαι	21298
148852	 πρότερον	21262
148853	 αὐτὰ	21254
148854	 ποτ	7767
148855	μὴ	21159
148856	ὅτι	21133
148857	ικὴν	21097
148858	ῦσι	21095
148859	εὐ	21023
148860	 Ἰησοῦ	20929
148861	 ἄνθρωπος	20895
148862	 ὑμᾶς	20868
148863	 γοῦν	20833
148864	 τί	20829
148865	 ἀντὶ	20826
148866	σῳ	20771
148867	οὐκ	20750
148868	 γέ	20627
148869	θρωπον	4346
148870	 δύ	9292
148871	 ἐντ	20591
148872	ἀλλὰ	20536
148873	γειν	20529
148874	ῦσιν	20498
148875	ῆμα	20490
148876	ῖσθαι	20450
148877	Ἰ	20401
148878	διὰ	20337
148879	 ἀμφ	20282
148880	 ἡμεῖς	20266
148881	ίν	20219
148882	 ἅπαν	20172
148883	 ἑαυτὸν	20160
148884	 ἑν	9100
148885	 αἰῶ	20137
148886	σιον	20122
148887	ἢ	20121
148888	 ἐνταῦθα	20104
148889	ῦσαι	20100
148890	 ἔξω	20066
148891	Οὐ	20051
148892	 ἀναγκα	20038
148893	 εὔ	19956
148894	 ὄντα	19930
148895	ρῷ	19929
148896	 σοφ	19893
148897	ἁ	19830
148898	σαντος	19792
148899	 ἐπα	19792
148900	 ποτε	19730
148901	 οἰκ	19639
148902	ἀνα	19618
148903	 βασιλεὺς	19608
148904	γένετο	4116
148905	 ἐπέ	19601
148906	οἱ	19592
148907	 ἐπιστ	19567
148908	 ἧς	19495
148909	κεί	8423
148910	ποις	9089
148911	θὼν	19442
148912	 ἄλλα	19419
148913	 ταύτης	19388
148914	 Τὸ	19367
148915	 εἰκό	19343
148916	ῦντας	19302
148917	 ἀσ	19287
148918	 αὐτόν	19271
148919	Περὶ	19262
148920	γαγ	19154
148921	 Τοῦ	8442
148922	 φησί	19126
148923	μένων	19103
148924	\xb7ς	19095
148925	ἐπὶ	19082
148926	λως	6109
148927	 καθά	4088
148928	 ἀδελφ	19031
148929	αὐτοῦ	18971
148930	 ἡγε	18954
148931	θῇ	18925
148932	εῖς	18907
148933	 κἂν	18907
148934	 ὄνομα	18889
148935	 θεοῦ	18882
