id	token	count
148740	 ἄρ	26644
148741	 ἑκά	13302
148742	 Ἰη	1265
148743	 εἴη	33989
148744	ρῳ	30127
148745	ξαι	25859
148746	ῖα	22291
148747	 τοιοῦ	6821
148748	σασθαι	30166
148749	πρὸς	34220
148750	 ταύτην	33081
148751	"·
"	35070
148752	εἶ	15027
148753	 αὐτῇ	32880
148754	κοῦ	21451
148755	μένον	29127
148756	 ἀνε	29031
148757	 ἕκα	2348
148758	λοῦ	22670
148759	ρὶ	10261
148760	 ἄλλ	6823
148761	 ὑμῖν	32264
148762	μῶν	16082
148763	 ἑαυτοῦ	32240
148764	ὀ	29360
148765	 σῶμα	33202
148766	ῆλ	2676
148767	 ὁρ	27355
148768	στερον	13418
148769	 ἔργ	523
148770	χον	22066
148771	ρηται	14805
148772	 Ῥωμα	4400
148773	 πολλὰ	31295
148774	 ἀρ	31484
148775	 ὅσα	31474
148776	ῖται	26565
148777	ροις	20788
148778	 Ἰουδα	10938
148779	 Θεῷ	31480
148780	 ἀκού	22243
148781	λοις	23152
148782	 εἶπεν	30198
148783	 κἀ	10888
148784	 ἔλε	2770
148785	̓	17899
148786	 λοιπ	4185
148787	ρᾳ	17678
148788	ρά	24791
148789	 ὃν	29415
148790	 ὀλί	14099
148791	 ἀπα	22222
148792	όμενον	24087
148793	 ἐὰν	32003
148794	μένῳ	29757
148795	 πόλιν	28470
148796	ίᾳ	29491
148797	 ἄλ	5644
148798	ἀλλ	24044
148799	 ψυχῆς	29648
148800	πὸ	6008
148801	 ἀνέ	28628
148802	 ὀφ	6196
148803	άρ	13583
148804	 ἀνθρώπων	28740
148805	 ὅτε	28809
148806	 γῆν	28894
148807	ρεῖν	24201
148808	νοιαν	19075
148809	 ἐπειδὴ	29182
148810	τῇ	28501
148811	 λέγων	28295
148812	 ἐχ	9994
148813	κις	5953
148814	 μό	16021
148815	ἀπο	28628
148816	νῳ	13579
148817	 ὅπερ	29143
148818	 γενέσθαι	27495
148819	ῖος	22539
148820	Ὁ	28696
148821	 εἰρη	17719
148822	ήν	25212
148823	 φησιν	27503
148824	 φύσιν	29187
148825	λέως	4605
148826	 δέ	29427
148827	ρώ	13934
148828	 λέγειν	27381
148829	 ἐντα	2639
148830	ῴ	14406
148831	 ποιεῖ	18341
148832	 ἔχων	26995
148833	 ὃς	26901
148834	 τούτῳ	26885
148835	διον	16273
148836	 πολὺ	21667
148837	 μηδὲν	27225
148838	κατὰ	28118
148839	Εἰ	18572
148840	 πᾶν	27411
148841	ταῖς	16699
148842	ῖοι	12829
148843	 χεῖ	5442
148844	μοὶ	11632
148845	 πᾶσαν	26977
148846	ττον	13990
148847	 μήτε	26630
148848	ὕτη	6160
148849	λεῖν	23113
148850	 ἄνω	18213
148851	ῆσθαι	14530
148852	 πρότερον	26539
148853	 αὐτὰ	26466
148854	 ποτ	9415
148855	μὴ	26665
148856	ὅτι	26712
148857	ικὴν	26750
148858	ῦσι	26435
148859	εὐ	26274
148860	 Ἰησοῦ	15795
148861	 ἄνθρωπος	27061
148862	 ὑμᾶς	26027
148863	 γοῦν	25826
148864	 τί	22014
148865	 ἀντὶ	25098
148866	σῳ	15657
148867	οὐκ	26241
148868	 γέ	21087
148869	θρωπον	5450
148870	 δύ	2758
148871	 ἐντ	18090
148872	ἀλλὰ	25273
148873	γειν	11868
148874	ῦσιν	25543
148875	ῆμα	10258
148876	ῖσθαι	22102
148877	Ἰ	18353
148878	διὰ	25606
148879	 ἀμφ	15494
148880	 ἡμεῖς	25296
148881	ίν	11880
148882	 ἅπαν	6860
148883	 ἑαυτὸν	24995
148884	 ἑν	5377
148885	 αἰῶ	596
148886	σιον	20649
148887	ἢ	25338
148888	 ἐνταῦθα	24864
148889	ῦσαι	24557
148890	 ἔξω	16609
148891	Οὐ	18975
148892	 ἀναγκα	15516
148893	 εὔ	24871
148894	 ὄντα	24663
148895	ρῷ	17581
148896	 σοφ	20597
148897	ἁ	14125
148898	σαντος	20218
148899	 ἐπα	24600
148900	 ποτε	24121
148901	 οἰκ	10998
148902	ἀνα	21476
148903	 βασιλεὺς	23947
148904	γένετο	5042
148905	 ἐπέ	23847
148906	οἱ	24290
148907	 ἐπιστ	15675
148908	 ἧς	24284
148909	κεί	6709
148910	ποις	11302
148911	θὼν	8944
148912	 ἄλλα	23981
148913	 ταύτης	24102
148914	 Τὸ	25113
148915	 εἰκό	9195
148916	ῦντας	23949
148917	 ἀσ	9561
148918	 αὐτόν	23294
148919	Περὶ	23117
148920	γαγ	8809
148921	 Τοῦ	10980
148922	 φησί	23718
148923	μένων	24284
148924	\xb7ς	50
148925	ἐπὶ	24079
148926	λως	7846
148927	 καθά	4878
148928	 ἀδελφ	10227
148929	αὐτοῦ	23374
148930	 ἡγε	11578
148931	θῇ	21597
148932	εῖς	23617
148933	 κἂν	24220
148934	 ὄνομα	22929
148935	 θεοῦ	21828
148936	 βασιλέως	22888
148937	ντος	5301
148938	ῶσιν	14275
148939	ρὰ	19862
148940	ικῶς	23790
148941	 ὑπό	20482
148942	 ἐκείνου	22684
148943	 φύ	3153
148944	 τό	16367
148945	δέ	20044
148946	μῳ	18822
148947	ρέ	23950
148948	 ἕως	23457
148949	 αἰτ	8060
148950	 ὤ	15275
148951	 τοιού	3875
148952	 ὀφθαλ	11358
148953	 ὅσον	22970
148954	",


"	20010
148955	 ἕτερον	23264
148956	 ἄρχ	9573
148957	 ἓ	389
148958	λιον	12346
148959	κό	19239
148960	ῃς	22757
148961	ταις	19024
148962	ζειν	22640
148963	οις	12444
148964	 τρόπον	22655
148965	τὰς	22804
148966	 Πνεῦμα	23317
148967	 ὢ	1372
148968	θήσεται	22953
148969	Θεο	4314
148970	 πό	22785
148971	 παντὸς	22429
148972	ῄ	15771
148973	πεὶ	730
148974	 ἐναντ	16203
148975	γιον	6776
148976	δεὶς	8036
148977	ισι	19548
148978	ῦντες	22093
148979	\x93ς	2606
148980	 οἰκο	8886
148981	 ᾗ	22213
148982	 ἀντι	21867
148983	 παῖ	2990
148984	τιον	11072
148985	θὺς	3417
148986	πῳ	11711
148987	\xaeχος	2949
148988	δωρ	2622
148989	 γν	2709
148990	 ἔχο	4236
148991	ψας	21288
148992	πά	17379
148993	γὼ	2335
148994	σθω	17450
148995	 λόγῳ	21356
148996	 τέ	18064
148997	σεσθαι	11680
148998	ρίαν	21156
148999	περὶ	21214
149000	θις	2852
149001	ῦντος	21294
149002	 τινος	21112
149003	 φησὶν	20883
149004	τέον	17513
149005	 μέντοι	20872
149006	 τοιαῦτα	21605
149007	 ἐπιβ	12938
149008	 φησίν	21154
149009	θειαν	12752
149010	ὄ	20983
149011	ὕτω	111
149012	 ὢν	20684
149013	 πάντας	20794
149014	 ὀρθ	12472
149015	λῳ	16496
149016	 Κύ	985
149017	 ἑτέρ	1519
149018	 ἦσαν	20746
149019	τοῦτο	21124
149020	όμενον	20769
149021	 ἐνεργ	12922
149022	 αὕτη	20990
149023	 τοιαύ	5442
149024	 πολλῶν	20548
149025	 ποιεῖν	20762
149026	ῆθος	2587
149027	 δύναμιν	20335
149028	 αὐτοὶ	20836
149029	δὸν	5390
149030	σρα	3158
149031	 ἐγκ	20424
149032	 ἀρχὴν	20309
149033	 ἁπλ	7295
149034	νεσθαι	9297
149035	 ἐκκλη	9347
149036	σαντα	20043
149037	ῦσα	16930
149038	 ἀκ	14974
149039	 τινὰ	20327
149040	 γί	3683
149041	 Πατρὸς	20829
149042	 ἄνθρωπον	20369
149043	 γυναῖ	815
149044	ξατο	17077
149045	νηται	9445
149046	 πόλεως	19609
149047	ψαι	19963
149048	 Περὶ	19899
149049	 δοκεῖ	20341
149050	 Ἕ	6614
149051	 ὀργ	11604
149052	ὴλ	11089
149053	ίον	11768
149054	 πρό	14695
149055	αἰ	20022
149056	 ἁρ	8018
149057	 ἐξε	19761
149058	 ὕδα	4556
149059	ρίῳ	11882
149060	 ἀρχῆς	19712
149061	 ϲ	16158
149062	λέ	20348
149063	 καλῶς	19959
149064	χεσθαι	16498
149065	 ἀλη	7409
149066	 τοι	19285
149067	 ἀλλʼ	19470
149068	 φησι	18928
149069	 σοῦ	19725
149070	 σαρκ	6677
149071	ῶμεν	15821
149072	στασιν	13806
149073	 οὗτοι	19467
149074	 οὓς	19225
149075	 εὖ	19495
149076	άμενος	9266
149077	 εἶτα	19947
149078	κὸς	8511
149079	 ἐγένετο	18719
149080	 εἴτε	19385
149081	 Ἀθηνα	7321
149082	 χρὴ	19477
149083	 τινες	19230
149084	 ἓν	19135
149085	 ἐπιτ	15332
149086	ἕ	16411
149087	ὺν	8855
149088	 ἰσχ	10977
149089	 ὕδωρ	19326
149090	 διὸ	18852
149091	 φῶς	18843
149092	 χρόνον	18986
149093	ῦθεν	1216
149094	εἴ	19216
149095	τά	15548
149096	 ἐκτ	12546
149097	ίνεσθαι	9639
149098	τʼ	18582
149099	 ἀλλήλ	1650
149100	Ἦχος	18498
149101	ῦρ	3119
149102	σάμενος	18347
149103	 ἀλ	18882
149104	μάτων	19471
149105	 γέγον	210
149106	 ἐνα	13204
149107	κοῦν	8644
149108	 καθάπερ	19168
149109	 ὕστερον	18502
149110	μένας	18422
149111	ρή	14712
149112	σεβε	4715
149113	τεῖ	15495
149114	ξῆς	2560
149115	σαντο	18071
149116	νειν	14297
149117	 ἵπ	5607
149118	ψεν	14602
149119	 αὖθις	17678
149120	ίως	12072
149121	 πᾶσι	18410
149122	 εὐθὺς	18015
149123	 ἐκεῖνος	18150
149124	 Οἱ	18734
149125	ὥ	4417
149126	͵	14936
149127	 ἡμέρας	18400
149128	 νοῦν	18329
149129	 ᾖ	18909
149130	δό	18388
149131	 ἐμοῦ	18130
149132	 ἔκ	18171
149133	 πλῆθος	17488
149134	 ἡδον	9243
149135	ἐξ	18267
149136	 ἐξέ	17782
149137	ʹ	11486
149138	 ὄντων	18389
149139	σομαι	15112
149140	τὸς	7980
149141	πάντων	6383
149142	 τοσοῦ	2971
149143	 ὑπάρχ	8306
149144	ἵ	10121
149145	τό	13110
149146	 ἀμφο	9302
149147	 ἀνθρώ	4946
149148	άρχ	3356
149149	θῶν	10400
149150	ντεῦθεν	6298
149151	πὼν	6316
149152	 ἐκείνων	17432
149153	 Ἐν	17710
149154	νῃ	13885
149155	 ἔργον	17195
149156	 αἰσχ	12724
149157	δίαν	5956
149158	 ποιή	10653
149159	δεῖν	6881
149160	 αἵ	8154
149161	 τοιοῦτον	17762
149162	εῖσθαι	13087
149163	 ψυχὴν	17640
149164	 λέγω	17608
149165	 τούτων	17670
149166	 δῆλον	18107
149167	τεῖν	10415
149168	 λοιπὸν	17844
149169	ότερον	13150
149170	 ὁμοίως	17433
149171	 Ἰσρα	3542
149172	 πολλάκις	17268
149173	ἦ	7940
149174	χεν	6610
149175	ρὶς	5723
149176	τηρ	8325
149177	 ἕνε	165
149178	 ἄλλοις	16928
149179	 πάντα	17239
149180	ξις	14153
149181	 ἕκαστον	17142
149182	 δειν	12716
149183	σωμεν	14494
149184	τητος	11375
149185	 Υἱοῦ	17645
149186	χοῦ	11122
149187	 φρον	12964
149188	 Εἶ	8268
149189	 ποτὲ	16729
149190	 εἴρηται	17302
149191	δῶν	12425
149192	 ταὐ	7760
149193	σαύ	2152
149194	 οἵ	13035
149195	 δυνάμε	6228
149196	εῖται	13357
149197	πται	7575
149198	 δευτ	16793
149199	 δό	6116
149200	 ἀξι	16281
149201	 ἐμφ	10212
149202	 Σωτ	5001
149203	 βίον	16315
149204	 ταῦ	7278
149205	αντες	5038
149206	 εἶπε	16869
149207	 μέγα	16698
149208	 ἐλέ	12993
149209	σὶ	13710
149210	 ταύ	2763
149211	 προφή	6898
149212	κέτι	2664
149213	 ἀνά	8676
149214	 τελευτ	15710
149215	 ὑγ	13871
149216	ειαν	12553
149217	άν	16722
149218	 δόξαν	15828
149219	 Αλλ	16716
149220	 ἄλλως	16406
149221	 ἐπο	13092
149222	 ὅθεν	16053
149223	 ἀριθμ	5014
149224	 ὅλως	16877
149225	 ὀνό	3796
149226	 ἐργ	16105
149227	σῶν	6549
149228	όμενος	16065
149229	 αἰσθη	13259
149230	θην	11794
149231	 βασιλέα	15718
149232	 δοῦ	7136
149233	 ἡμετ	9473
149234	 ἑξῆς	15684
149235	ὕτως	2056
149236	 τούτους	15754
149237	νοίας	16163
149238	ττειν	10476
149239	τί	12761
149240	 ἀργ	11868
149241	 ἀκο	15600
149242	 ἐλά	16042
149243	 πῦρ	16235
149244	 φύσει	16165
149245	ισιν	15627
149246	ῶνα	11424
149247	 τῆ	5217
149248	ησεν	15094
149249	 εἶδος	16317
149250	 εἰσιν	15907
149251	 Χριστὸν	15675
149252	 ἑαυτῷ	15855
149253	μασι	15677
149254	 ἐμοὶ	15587
149255	οὐδὲ	9765
149256	ἅ	12482
149257	 πρᾶ	7838
149258	 ἐπικ	15670
149259	 ἅγιον	15810
149260	 πολεμ	3024
149261	 ὄντος	15698
149262	 πλεῖ	4095
149263	ιστον	9973
149264	 ΑΚΟΥ	119
149265	 ἐπαν	15159
149266	όντων	15789
149267	 ἀλλο	10840
149268	δύ	10709
149269	ῖναι	15095
149270	 ΑΚΟΥΤΕ	15274
149271	 ἰδ	9879
149272	ξῃ	10456
149273	 θεῶν	14592
149274	 ζωῆς	15423
149275	μις	7813
149276	 ταύτῃ	14975
149277	εἶναι	15587
149278	 τροφ	5752
149279	 αὐτό	11827
149280	 οὐδέ	7148
149281	 ἀναι	15307
149282	λείαν	5519
149283	 τυγ	818
149284	 ὑφ	15283
149285	έρα	16086
149286	θή	11321
149287	 ἀπει	15213
149288	ᾶσθαι	14879
149289	ίζειν	14756
149290	Ἡ	15042
149291	ἤ	10751
149292	ἄν	12532
149293	κά	6503
149294	 δυνά	4093
149295	ῶσι	15199
149296	θοῦ	9315
149297	οὖ	2729
149298	σεβ	4880
149299	 τουτέ	1508
149300	 ἀγά	3588
149301	νοιτο	6814
149302	 τοσοῦτον	14957
149303	αῖς	10964
149304	 ἀγγ	9440
149305	μοῖς	10966
149306	 Διὰ	14932
149307	είᾳ	11923
149308	θεσιν	14955
149309	άτων	11918
149310	 ἀδικ	14809
149311	 πᾶσιν	14786
149312	ούσης	14650
149313	 πλὴν	15296
149314	νεύ	3801
149315	 ὁμολογ	14589
149316	 Ὑ	14496
149317	 ἦλ	1399
149318	 ἐκεῖνο	14542
149319	δαιμον	2997
149320	 ἐπιδ	8219
149321	ῖσι	8639
149322	 οὐχὶ	14614
149323	 μίαν	14848
149324	 Χριστὸς	14612
149325	 ἑαυτῶν	14811
149326	 ἐγγ	9763
149327	 ἐκεῖνον	14203
149328	 ὑπάρχ	6843
149329	 μή	9212
149330	 ἐχθ	8143
149331	 πρὶν	14273
149332	ᾶται	14322
149333	ἀπὸ	14470
149334	ἷ	6714
149335	δοῦ	4907
149336	 γῆ	14673
149337	μασιν	14282
149338	 ἀνθρώ	6238
149339	 Ῥωμαίων	13453
149340	 χαλε	10373
149341	ἐπι	14407
149342	 ἔφ	8040
149343	θεῖσα	14205
149344	 ἐπει	9509
149345	ῆρος	6569
149346	 εἰσι	14298
149347	Ὅ	7488
149348	 ἱκαν	9716
149349	 Ἰωάν	2061
149350	 οὐδεν	1856
149351	 οὐδεὶς	14005
149352	μένου	14277
149353	 ἔτη	14412
149354	 δύνα	5790
149355	 ἡμέραν	13940
149356	ῶνος	13631
149357	ωσιν	14343
149358	πό	14193
149359	 πολλοὺς	13487
149360	ταῦτα	13971
149361	 προση	9681
149362	ίῳ	14081
149363	 ἀνὴρ	13404
149364	 ὅλον	14243
149365	μὸς	8210
149366	μεῖν	13752
149367	 Χριστῷ	13770
149368	στῳ	6656
149369	 ἀλή	2049
149370	 ἔργα	13533
149371	 ἄνδρα	13431
149372	 οἳ	13532
149373	 ἁπλῶς	14577
149374	 ἐμπ	13922
149375	δοὺ	3173
149376	 οἶμαι	13481
149377	 πᾶσα	14299
149378	ρίου	6328
149379	μῃ	10377
149380	βεῖν	1368
149381	 ἑνὸς	13803
149382	 ἐκεί	7241
149383	μὴν	13759
149384	οὔ	6623
149385	 λεγο	10133
149386	θὲν	14146
149387	Ἔ	11136
149388	 ὑπέ	13526
149389	Τοῦ	10852
149390	κέναι	13330
149391	 υἱο	4212
149392	ὗτος	65
149393	σαις	13229
149394	ικοῖς	13670
149395	 τρεῖς	13562
149396	 ἀνδρῶν	12969
149397	λις	4004
149398	λειαν	13385
149399	 ἔδει	13492
149400	 ἁγίου	13678
149401	τήν	5423
149402	 οἰκε	5050
149403	 Οὐκ	13607
149404	ἡμ	337
149405	μοὺς	9669
149406	 ἐθν	2380
149407	 σώ	8209
149408	 θεῖον	13087
149409	 καλεῖ	8490
149410	 Τοῦτο	13574
149411	 ἄλλους	13089
149412	 ἱστο	9965
149413	 ἔχου	861
149414	 ἤτοι	13066
149415	 ἀγαθὸν	13312
149416	ὑπο	13404
149417	ναί	7560
149418	ῆλθεν	12815
149419	Αλλὰ	9739
149420	 ἐξα	13180
149421	 ἐποίησε	5528
149422	 σημε	1932
149423	 ἱπ	5298
149424	ητῶν	8053
149425	οικ	4621
149426	 ἔμπ	5478
149427	 θεὸς	12673
149428	 ἐμὲ	13153
149429	 ἀνθρώπου	13188
149430	 Παῦ	3471
149431	 μόνον	13323
149432	 οὐσ	2391
149433	μοις	13144
149434	νοντο	6692
149435	 πολλοὶ	12660
149436	\xa9ς	7
149437	ραις	8376
149438	 ἄλλοι	12929
149439	νησιν	10196
149440	 ἀγαθῶν	13001
149441	ξιον	4146
149442	ζεσθαι	12875
149443	 ἀνθρώποις	12782
149444	 εἶχε	12657
149445	νομέ	9487
149446	ομεν	12915
149447	γεσθαι	9436
149448	 φησὶ	12557
149449	Ἐν	12831
149450	 ἐρω	8474
149451	σομεν	12894
149452	 παντὶ	13505
149453	 ἐλε	12762
149454	ρειν	9877
149455	 πνεῦμα	12774
149456	 ἀρετῆς	12825
149457	ξὺ	2665
149458	 Ἀντ	8102
149459	 πόλει	12215
149460	δεῖ	9899
