id	token	count
148480	καὶ	361727
148481	 οὐδὲ	92388
148482	 φη	2645
148483	 ἦν	133029
148484	τῶν	123088
148485	μέ	92122
148486	 ταῦτα	126852
148487	ρὸς	72547
148488	 παρὰ	120418
148489	αὐ	73128
148490	 οὗ	59261
148491	ὶν	45617
148492	 οἷ	32521
148493	 δὴ	108954
148494	ἔ	110879
148495	 ταῖς	107853
148496	 πᾶ	6981
148497	ῆναι	50159
148498	οὐ	63467
148499	 ἐστιν	102944
148500	ίας	102454
148501	τὸν	95548
148502	 ἐστ	20554
148503	εἰ	59079
148504	 ὧ	13224
148505	 ἐστι	93970
148506	τὸ	94436
148507	 αὐτοῖς	90786
148508	τὴν	92661
148509	 ἐκεί	49916
148510	τῳ	63508
148511	όν	92461
148512	ρῶν	76010
148513	 οὕτως	88053
148514	εῖν	65705
148515	θαι	25565
148516	 πά	70676
148517	ὕ	22058
148518	ὁ	84187
148519	ἄ	69252
148520	ᾷ	81709
148521	 ἡμῖν	81756
148522	 νῦν	82369
148523	 ἀγα	31118
148524	τῆς	82048
148525	 ἐς	75045
148526	 ὧν	79856
148527	ἡ	66881
148528	ῖον	66111
148529	 οὐχ	63610
148530	 ἵνα	78015
148531	σῃ	78846
148532	ᾶλλον	7897
148533	 αὐτὸς	77157
148534	ὖ	7442
148535	 δʼ	78679
148536	ίαν	77574
148537	 τιν	56129
148538	ἐν	76805
148539	 ἑαυτ	21266
148540	ὲρ	8083
148541	 οὕτω	75798
148542	 ἐπε	34207
148543	 οὔτε	74758
148544	 ᾿	75153
148545	 ἥ	72890
148546	ἶ	21389
148547	 Οὐ	58294
148548	 μᾶλλον	71342
148549	 ὥσπερ	71799
148550	 ἡμᾶς	70678
148551	ὅ	44084
148552	ρί	56603
148553	ρὸν	68276
148554	 ὑπὲρ	67119
148555	ῆσαι	66033
148556	 σὺ	30303
148557	ῥ	14939
148558	Καὶ	65366
148559	 οἶ	50819
148560	λεῖ	39208
148561	 χρ	47232
148562	δὴ	18940
148563	 αὐτοὺς	63679
148564	ίοις	61039
148565	ῆν	32976
148566	 φησ	8142
148567	 ἔτι	61530
148568	ὲν	12264
148569	 μέ	65266
148570	Ἐ	49466
148571	 ἐλ	61721
148572	 ἐφ	62156
148573	 αὐτῆς	61261
148574	σοῦ	17039
148575	 δεῖ	61065
148576	 Εἰ	61899
148577	 οὐδὲν	60554
148578	 ἐγ	22592
148579	ασθαι	13977
148580	 μηδὲ	32283
148581	ἴ	40902
148582	 ἔχ	48338
148583	 πρῶ	22553
148584	 γάρ	58652
148585	τῷ	46081
148586	 ἡμέ	26163
148587	 ἀφ	58416
148588	 Ῥ	24527
148589	 πάλιν	58042
148590	ροῦ	57273
148591	 ὑπερ	56570
148592	 υἱ	40921
148593	 ἔν	55608
148594	λλὰ	16514
148595	 ὦ	55513
148596	θῆναι	54756
148597	 Υἱ	37852
148598	νην	54258
148599	ῤ	3292
148600	 ἁμαρ	54579
148601	σθη	38420
148602	τὰ	54747
148603	 Θεὸς	54927
148604	 αὐτὴν	53359
148605	ός	54873
148606	 σοι	52951
148607	 λέ	53957
148608	 ἄλλο	35694
148609	 οὐραν	52861
148610	 ὥστε	52134
148611	 ὠ	51472
148612	σται	17177
148613	 τοια	9193
148614	τῃ	35819
148615	 ἑαυτο	18875
148616	 πῶς	51240
148617	 ἀγαθ	24837
148618	ῤῥ	50920
148619	μένην	50441
148620	ἐπ	26441
148621	εὶ	13963
148622	θεῖν	49337
148623	μεῖς	24568
148624	 ἁγ	37436
148625	 αὐτὸ	50322
148626	πεῖν	14957
148627	ῦμα	8986
148628	ῦς	47721
148629	θεὶς	47386
148630	σαντες	47864
148631	 ἀνθρώπ	18956
148632	τοῖς	48522
148633	σατο	46527
148634	 ἱερ	46067
148635	Ἀ	49710
148636	ὴρ	33332
148637	ὴς	46386
148638	ία	47008
148639	ιοῦ	13078
148640	 πολλο	18851
148641	 ἧ	21879
148642	 μέν	24662
148643	εσθαι	46113
148644	 ἤδη	44832
148645	ρῶ	45801
148646	πειδὴ	17042
148647	μένοις	44510
148648	θέ	46107
148649	 πρὸ	44210
148650	τέ	46708
148651	ὡ	5042
148652	"·
"	47441
148653	 τού	27775
148654	ὼς	44415
148655	 ἀνδ	30036
148656	 ἐμ	31038
148657	 ἀπε	43293
148658	 ἣ	6739
148659	 ἀδελ	20066
148660	 οἴ	43293
148661	 ἀληθ	30875
148662	 ἄρα	43472
148663	 οὐδ	42502
148664	γὰρ	42832
148665	έναι	27129
148666	 ἔστι	42794
148667	 γῆς	41417
148668	ῶμα	9197
148669	ἂν	17653
148670	ὗ	27386
148671	ἑ	40853
148672	 ἐπεὶ	39973
148673	 οἷον	42616
148674	 βασιλε	15988
148675	 λόγον	40336
148676	νεῦμα	4991
148677	 ἃ	39468
148678	 οὗτος	39546
148679	 Χριστοῦ	40052
148680	 τοῦτον	39821
148681	 Αἰ	39758
148682	ᾶν	38827
148683	ὡς	39877
148684	 οἷς	39250
148685	 ἔφη	37071
148686	ίνυν	3214
148687	 εἰσ	40165
148688	ξιν	39568
148689	 ὅταν	40496
148690	νοις	38871
148691	 ἔχειν	39038
148692	 ἔστιν	39555
148693	 αὑ	37218
148694	 μὴν	38416
148695	 ὁμο	39185
148696	τοὺς	38787
148697	ουσι	38571
148698	ικὸν	39024
148699	 ἀρετ	25794
148700	 ἀπέ	36764
148701	σίαν	38089
148702	 τινα	37251
148703	 ἐγὼ	37210
148704	 ἐστὶ	38589
148705	 αἴ	38535
148706	ρό	38962
148707	 ἀνθ	5270
148708	 ἄλλων	37080
148709	ίων	38663
148710	 τούτοις	36181
148711	ίᾳ	35729
148712	νοῦ	37255
148713	 ᾧ	36618
148714	 ἣν	36889
148715	 ἐστὶν	37416
148716	 πρῶτον	36538
148717	 λό	36863
148718	μὲν	37384
148719	ἀν	36432
148720	 τοίνυν	36085
148721	 ἅμα	36013
148722	 σὺν	35596
148723	μά	18051
148724	 δῆ	18022
148725	 ἀεὶ	36537
148726	 λέγει	35567
148727	τοις	35767
148728	 αὖ	16656
148729	 εὑ	35932
148730	ἐκ	34909
148731	 ὑμῶν	35082
148732	ίῳ	34094
148733	 ἐπισ	34913
148734	 Θεὸν	35514
148735	ίου	35647
148736	 ἔσται	36211
148737	εἰς	34563
148738	ῦθα	9466
148739	 εἰπεῖν	34364
148740	 ἄρ	35779
148741	 ἑκά	34660
148742	 Ἰη	7751
148743	 εἴη	33989
148744	ρῳ	33283
148745	ξαι	33753
148746	ῖα	33780
148747	 τοιοῦ	16123
148748	σασθαι	32876
148749	πρὸς	34220
148750	 ταύτην	33081
148751	"·
"	35070
148752	εἶ	17978
148753	 αὐτῇ	32880
148754	κοῦ	33542
148755	μένον	32399
148756	 ἀνε	32379
148757	 ἕκα	15664
148758	λοῦ	32965
148759	ρὶ	32527
148760	 ἄλλ	16171
148761	 ὑμῖν	32264
148762	μῶν	32428
148763	 ἑαυτοῦ	32240
148764	ὀ	32123
148765	 σῶμα	33202
148766	ῆλ	18702
148767	 ὁρ	31602
148768	στερον	13418
148769	 ἔργ	14002
148770	χον	31166
148771	ρηται	14805
148772	 Ῥωμα	15918
148773	 πολλὰ	31295
148774	 ἀρ	31484
148775	 ὅσα	31474
148776	ῖται	31534
148777	ροις	30818
148778	 Ἰουδα	30700
148779	 Θεῷ	31480
148780	 ἀκού	30591
148781	λοις	30838
148782	 εἶπεν	30198
148783	 κἀ	30307
148784	 ἔλε	30411
148785	̓	29478
148786	 λοιπ	13394
148787	ρᾳ	29992
148788	ρά	31159
148789	 ὃν	29415
148790	 ὀλί	29468
148791	 ἀπα	29840
148792	όμενον	29492
148793	 ἐὰν	32003
148794	μένῳ	29757
148795	 πόλιν	28470
148796	ίᾳ	29491
148797	 ἄλ	16427
148798	ἀλλ	29532
148799	 ψυχῆς	29648
148800	πὸ	15038
148801	 ἀνέ	28628
148802	 ὀφ	6196
148803	άρ	30174
148804	 ἀνθρώπων	28740
148805	 ὅτε	28809
148806	 γῆν	28894
148807	ρεῖν	28696
148808	νοιαν	28800
148809	 ἐπειδὴ	29182
148810	τῇ	28501
148811	 λέγων	28295
148812	 ἐχ	28605
148813	κις	11624
148814	 μό	16021
148815	ἀπο	28628
148816	νῳ	28585
148817	 ὅπερ	29143
148818	 γενέσθαι	27495
148819	ῖος	28974
148820	Ὁ	28696
148821	 εἰρη	28240
148822	ήν	28896
148823	 φησιν	27503
148824	 φύσιν	29187
148825	λέως	4605
148826	 δέ	29427
148827	ρώ	13934
