id	token	count
148480	καὶ	289209
148481	 οὐδὲ	73924
148482	 φη	2168
148483	 ἦν	108998
148484	τῶν	84825
148485	μέ	16751
148486	 ταῦτα	101933
148487	ρὸς	25441
148488	 παρὰ	98106
148489	αὐ	19749
148490	 οὗ	47226
148491	ὶν	13379
148492	 οἷ	10761
148493	 δὴ	89077
148494	ἔ	57700
148495	 ταῖς	87166
148496	 πᾶ	1862
148497	ῆναι	21671
148498	οὐ	38613
148499	 ἐστιν	82097
148500	ίας	68868
148501	τὸν	58827
148502	 ἐστ	5061
148503	εἰ	42724
148504	 ὧ	4098
148505	 ἐστι	74355
148506	τὸ	68082
148507	 αὐτοῖς	73920
148508	τὴν	69763
148509	 ἐκεί	3675
148510	τῳ	40471
148511	όν	46317
148512	ρῶν	39486
148513	 οὕτως	70360
148514	εῖν	38421
148515	θαι	14441
148516	 πά	19411
148517	ὕ	10605
148518	ὁ	64072
148519	ἄ	39833
148520	ᾷ	39428
148521	 ἡμῖν	65279
148522	 νῦν	65250
148523	 ἀγα	9724
148524	τῆς	60653
148525	 ἐς	64641
148526	 ὧν	64339
148527	ἡ	40203
148528	ῖον	34238
148529	 οὐχ	51290
148530	 ἵνα	62639
148531	σῃ	46160
148532	ᾶλλον	748
148533	 αὐτὸς	62187
148534	ὖ	6038
148535	 δʼ	61762
148536	ίαν	45628
148537	 τιν	4572
148538	ἐν	61260
148539	 ἑαυτ	6210
148540	ὲρ	1821
148541	 οὕτω	60482
148542	 ἐπε	27879
148543	 οὔτε	59717
148544	 ᾿	59632
148545	 ἥ	34514
148546	ἶ	6309
148547	 Οὐ	35191
148548	 μᾶλλον	56258
148549	 ὥσπερ	56166
148550	 ἡμᾶς	56032
148551	ὅ	25926
148552	ρί	24002
148553	ρὸν	34121
148554	 ὑπὲρ	54759
148555	ῆσαι	38614
148556	 σὺ	24646
148557	ῥ	12092
148558	Καὶ	52452
148559	 οἶ	12857
148560	λεῖ	20012
148561	 χρ	21672
148562	δὴ	5869
148563	 αὐτοὺς	51474
148564	ίοις	35075
148565	ῆν	16495
148566	 φησ	211
148567	 ἔτι	49766
148568	ὲν	9588
148569	 μέ	28104
148570	Ἐ	22309
148571	 ἐλ	10099
148572	 ἐφ	40209
148573	 αὐτῆς	49251
148574	σοῦ	8911
148575	 δεῖ	42182
148576	 Εἰ	43273
148577	 οὐδὲν	48605
148578	 ἐγ	12826
148579	ασθαι	1071
148580	 μηδὲ	26115
148581	ἴ	11063
148582	 ἔχ	6681
148583	 πρῶ	4658
148584	 γάρ	47214
148585	τῷ	33235
148586	 ἡμέ	9280
148587	 ἀφ	38255
148588	 Ῥ	11037
148589	 πάλιν	46062
148590	ροῦ	27317
148591	 ὑπερ	38234
148592	 υἱ	9979
148593	 ἔν	18344
148594	λλὰ	2744
148595	 ὦ	42103
148596	θῆναι	41215
148597	 Υἱ	2414
148598	νην	28522
148599	ῤ	2858
148600	 ἁμαρ	12645
148601	σθη	23780
148602	τὰ	40562
148603	 Θεὸς	43023
148604	 αὐτὴν	42985
148605	ός	30551
148606	 σοι	42645
148607	 λέ	16833
148608	 ἄλλο	25854
148609	 οὐραν	13602
148610	 ὥστε	41572
148611	 ὠ	23272
148612	σται	10544
148613	 τοια	2878
148614	τῃ	23536
148615	 ἑαυτο	279
148616	 πῶς	40782
148617	 ἀγαθ	12408
148618	ῤῥ	25801
148619	μένην	38029
148620	ἐπ	21081
148621	εὶ	8164
148622	θεῖν	15694
148623	μεῖς	7526
148624	 ἁγ	15460
148625	 αὐτὸ	39746
148626	πεῖν	9661
148627	ῦμα	4580
148628	ῦς	22622
148629	θεὶς	35794
148630	σαντες	35748
148631	 ἀνθρώπ	3445
148632	τοῖς	32558
148633	σατο	30367
148634	 ἱερ	23191
148635	Ἀ	32139
148636	ὴρ	10449
148637	ὴς	34601
148638	ία	29947
148639	ιοῦ	7339
148640	 πολλο	1252
148641	 ἧ	9259
148642	 μέν	19957
148643	εσθαι	24105
148644	 ἤδη	36761
148645	ρῶ	19523
148646	πειδὴ	388
148647	μένοις	31193
148648	θέ	26090
148649	 πρὸ	36085
148650	τέ	19425
148651	ὡ	3924
148652	"·
"	35810
148653	 τού	2941
148654	ὼς	17963
148655	 ἀνδ	12851
