rank	token_id	decoded	count	mass_pct	basis	popcount
124	23056	None	395	0.0000	status_partial_utf8	0
125	62223	None	389	0.0000	status_partial_utf8	0
126	8367	None	334	0.0000	status_partial_utf8	0
127	101784	None	328	0.0000	status_partial_utf8	0
128	1208	None	324	0.0000	status_partial_utf8	0
129	7943	None	286	0.0000	status_partial_utf8	0
130	1227	None	277	0.0000	status_partial_utf8	0
131	1207	None	269	0.0000	status_partial_utf8	0
132	101294	None	269	0.0000	status_partial_utf8	0
133	14	None	265	0.0000	status_special	0
134	15	None	262	0.0000	status_special	0
135	127580	None	255	0.0000	status_partial_utf8	0
136	6058	None	237	0.0000	status_partial_utf8	0
137	113445	None	229	0.0000	status_partial_utf8	0
138	10146	None	211	0.0000	status_partial_utf8	0
139	22386	None	207	0.0000	status_partial_utf8	0
140	5377	None	204	0.0000	status_partial_utf8	0
141	7877	None	199	0.0000	status_partial_utf8	0
142	1217	None	197	0.0000	status_partial_utf8	0
143	11054	None	197	0.0000	status_partial_utf8	0
144	68314	None	196	0.0000	status_partial_utf8	0
145	4986	None	195	0.0000	status_partial_utf8	0
146	19632	None	194	0.0000	status_partial_utf8	0
147	4977	None	189	0.0000	status_partial_utf8	0
148	3703	None	181	0.0000	status_partial_utf8	0
149	1198	None	179	0.0000	status_partial_utf8	0
150	3172	None	177	0.0000	status_partial_utf8	0
151	3990	None	174	0.0000	status_partial_utf8	0
152	2854	None	169	0.0000	status_partial_utf8	0
153	6046	None	169	0.0000	status_partial_utf8	0
154	7568	None	160	0.0000	status_partial_utf8	0
155	6495	None	159	0.0000	status_partial_utf8	0
156	1209	None	158	0.0000	status_partial_utf8	0
157	14830	None	158	0.0000	status_partial_utf8	0
158	29246	None	158	0.0000	status_partial_utf8	0
159	5747	None	154	0.0000	status_partial_utf8	0
160	2826	None	149	0.0000	status_partial_utf8	0
161	1821	None	148	0.0000	status_partial_utf8	0
162	18709	None	145	0.0000	status_partial_utf8	0
163	10437	None	143	0.0000	status_partial_utf8	0
164	4757	None	142	0.0000	status_partial_utf8	0
165	5538	None	136	0.0000	status_partial_utf8	0
166	17368	None	136	0.0000	status_partial_utf8	0
167	1583	None	135	0.0000	status_partial_utf8	0
168	5519	None	132	0.0000	status_partial_utf8	0
169	8277	None	131	0.0000	status_partial_utf8	0
170	1220	None	130	0.0000	status_partial_utf8	0
171	83777	None	129	0.0000	status_partial_utf8	0
172	3717	None	127	0.0000	status_partial_utf8	0
173	5707	None	127	0.0000	status_partial_utf8	0
174	1232	None	126	0.0000	status_partial_utf8	0
175	19528	None	126	0.0000	status_partial_utf8	0
176	1200	None	123	0.0000	status_partial_utf8	0
177	1211	None	120	0.0000	status_partial_utf8	0
178	4511	None	120	0.0000	status_partial_utf8	0
179	7068	None	119	0.0000	status_partial_utf8	0
180	14045	None	118	0.0000	status_partial_utf8	0
181	1342	None	117	0.0000	status_partial_utf8	0
182	9365	None	117	0.0000	status_partial_utf8	0
183	4901	None	116	0.0000	status_partial_utf8	0
184	12684	None	116	0.0000	status_partial_utf8	0
185	1210	None	115	0.0000	status_partial_utf8	0
186	1696	None	115	0.0000	status_partial_utf8	0
187	105376	None	114	0.0000	status_partial_utf8	0
188	12904	None	112	0.0000	status_partial_utf8	0
189	15351	None	112	0.0000	status_partial_utf8	0
190	12313	None	111	0.0000	status_partial_utf8	0
191	4211	None	110	0.0000	status_partial_utf8	0
192	3835	None	107	0.0000	status_partial_utf8	0
193	8057	None	107	0.0000	status_partial_utf8	0
194	6664	None	105	0.0000	status_partial_utf8	0
195	32037	None	105	0.0000	status_partial_utf8	0
196	1547	None	103	0.0000	status_partial_utf8	0
197	2468	None	103	0.0000	status_partial_utf8	0
198	9001	None	103	0.0000	status_partial_utf8	0
199	1703	None	102	0.0000	status_partial_utf8	0
200	8313	None	102	0.0000	status_partial_utf8	0
