rank	token_id	decoded	count	mass_pct	basis	popcount
108	1035	'#'	31510	0.0031	all_55_locales_admit	55
109	14223	'.:'	30691	0.0031	all_55_locales_admit	55
110	50692	'§'	28852	0.0029	all_55_locales_admit	55
111	1791	'..'	28469	0.0028	all_55_locales_admit	55
112	2811	'":'	28431	0.0028	all_55_locales_admit	55
113	3006	' >'	28119	0.0028	all_55_locales_admit	55
114	20213	' ...\n'	27726	0.0028	all_55_locales_admit	55
115	56683	'…\n'	27330	0.0027	all_55_locales_admit	55
116	25566	' („'	27253	0.0027	all_55_locales_admit	55
117	9381	'.)\n'	27018	0.0027	all_55_locales_admit	55
118	13131	'.-'	26167	0.0026	all_55_locales_admit	55
119	50698	'?«'	26027	0.0026	all_55_locales_admit	55
120	1062	'>'	25956	0.0026	all_55_locales_admit	55
121	3082	' ?'	25224	0.0025	all_55_locales_admit	55
122	4225	',"'	24046	0.0024	all_55_locales_admit	55
123	6885	' °'	23984	0.0024	all_55_locales_admit	55
124	57829	'"-'	22877	0.0023	all_55_locales_admit	55
125	38556	'“)'	22587	0.0022	all_55_locales_admit	55
126	6182	'»,'	22242	0.0022	all_55_locales_admit	55
127	1364	' *'	22188	0.0022	all_55_locales_admit	55
128	102119	'“-'	22168	0.0022	all_55_locales_admit	55
129	24362	'.”\n'	21711	0.0022	all_55_locales_admit	55
130	1038	'&'	20605	0.0020	all_55_locales_admit	55
131	7504	' ("'	20416	0.0020	all_55_locales_admit	55
132	26875	'®'	20319	0.0020	all_55_locales_admit	55
133	3077	'].'	20158	0.0020	all_55_locales_admit	55
134	73769	'!«'	19851	0.0020	all_55_locales_admit	55
135	1267	'\n\n'	19412	0.0019	all_55_locales_admit	55
136	4370	' )'	19312	0.0019	all_55_locales_admit	55
137	4162	' ‘'	18994	0.0019	all_55_locales_admit	55
138	102872	'?“'	18760	0.0019	all_55_locales_admit	55
139	3455	');'	18383	0.0018	all_55_locales_admit	55
140	7085	' •'	18294	0.0018	all_55_locales_admit	55
141	4428	'")'	18261	0.0018	all_55_locales_admit	55
142	39210	'-)'	17926	0.0018	all_55_locales_admit	55
143	4372	'°'	17787	0.0018	all_55_locales_admit	55
144	107577	' …\n'	16791	0.0017	all_55_locales_admit	55
145	16077	'²'	16492	0.0016	all_55_locales_admit	55
146	4295	' ;'	16395	0.0016	all_55_locales_admit	55
147	95223	'!“'	16391	0.0016	all_55_locales_admit	55
148	113585	'©'	16338	0.0016	all_55_locales_admit	55
149	1468	');\n'	16156	0.0016	all_55_locales_admit	55
150	1674	'—'	16108	0.0016	all_55_locales_admit	55
151	10555	'?"'	16075	0.0016	all_55_locales_admit	55
152	4479	'.”'	15922	0.0016	all_55_locales_admit	55
153	19602	'/\n'	15688	0.0016	all_55_locales_admit	55
154	1064	'@'	15521	0.0015	all_55_locales_admit	55
155	25819	'.«'	15479	0.0015	all_55_locales_admit	55
156	51200	'€'	15305	0.0015	all_55_locales_admit	55
157	83979	' (§'	15305	0.0015	all_55_locales_admit	55
158	3605	'],'	15296	0.0015	all_55_locales_admit	55
159	14010	'”.'	15015	0.0015	all_55_locales_admit	55
160	1534	' <'	14596	0.0015	all_55_locales_admit	55
161	14617	'.).'	14572	0.0014	all_55_locales_admit	55
162	17405	'!"'	14538	0.0014	all_55_locales_admit	55
163	54784	'´'	14326	0.0014	all_55_locales_admit	55
164	3640	'):\n'	14089	0.0014	all_55_locales_admit	55
165	63586	'-/'	13711	0.0014	all_55_locales_admit	55
166	45509	'??'	13520	0.0013	all_55_locales_admit	55
167	2096	"',"	13436	0.0013	all_55_locales_admit	55
168	12733	'.),'	13379	0.0013	all_55_locales_admit	55
169	7290	'!!'	13362	0.0013	all_55_locales_admit	55
170	4254	' --'	13282	0.0013	all_55_locales_admit	55
171	103562	' -,'	13237	0.0013	all_55_locales_admit	55
172	19486	'.\n\n\n'	12609	0.0013	all_55_locales_admit	55
173	2126	' @'	11981	0.0012	all_55_locales_admit	55
174	80189	' ›'	11943	0.0012	all_55_locales_admit	55
175	121675	' ↑'	11864	0.0012	all_55_locales_admit	55
176	71488	'?"\n'	11861	0.0012	all_55_locales_admit	55
177	8891	'·'	11778	0.0012	all_55_locales_admit	55
178	62332	'!"\n'	11540	0.0011	all_55_locales_admit	55
179	32268	' ?\n'	11365	0.0011	all_55_locales_admit	55
180	99812	' ©'	11308	0.0011	all_55_locales_admit	55
181	4094	' ·'	11245	0.0011	all_55_locales_admit	55
182	13331	'....'	11107	0.0011	all_55_locales_admit	55
183	1036	'$'	10610	0.0011	all_55_locales_admit	55
184	85766	'‹'	10545	0.0010	all_55_locales_admit	55
185	3052	' (*'	10463	0.0010	all_55_locales_admit	55
186	35590	' (='	9973	0.0010	all_55_locales_admit	55
187	1092	'\\'	9867	0.0010	all_55_locales_admit	55
188	2662	' !'	9755	0.0010	all_55_locales_admit	55
189	121713	'«.'	9438	0.0009	all_55_locales_admit	55
190	106525	'”.\n'	9232	0.0009	all_55_locales_admit	55
191	36529	' […]'	9207	0.0009	all_55_locales_admit	55
192	8011	'","'	9127	0.0009	all_55_locales_admit	55
193	57277	'].\n'	9018	0.0009	all_55_locales_admit	55
194	5384	'./'	9014	0.0009	all_55_locales_admit	55
195	1125	'}'	8921	0.0009	all_55_locales_admit	55
196	8537	')-'	8845	0.0009	all_55_locales_admit	55
197	28710	' -\n'	8844	0.0009	all_55_locales_admit	55
198	12592	'":"'	8826	0.0009	all_55_locales_admit	55
199	10736	' ..'	8740	0.0009	all_55_locales_admit	55
200	47905	'!)'	8730	0.0009	all_55_locales_admit	55
