Processed 1040000 documents (6199.41 docs/s, 28.15 MB/s)
Processed 1050000 documents (6207.22 docs/s, 28.17 MB/s)
Processed 1060000 documents (6192.23 docs/s, 28.10 MB/s)
Processed 1070000 documents (6203.57 docs/s, 28.15 MB/s)
Processed 1080000 documents (6194.20 docs/s, 28.10 MB/s)
Processed 1090000 documents (6196.01 docs/s, 28.10 MB/s)
Processed 1100000 documents (6226.71 docs/s, 28.23 MB/s)
Processed 1110000 documents (6228.36 docs/s, 28.22 MB/s)
Processed 1120000 documents (6237.52 docs/s, 28.24 MB/s)
Processed 1130000 documents (6205.03 docs/s, 28.08 MB/s)
Processed 1140000 documents (6236.19 docs/s, 28.22 MB/s)
Processed 1150000 documents (6228.43 docs/s, 28.17 MB/s)
Processed 1160000 documents (6227.47 docs/s, 28.16 MB/s)
Processed 1170000 documents (6211.88 docs/s, 28.09 MB/s)
Processed 1180000 documents (6240.79 docs/s, 28.21 MB/s)
Processed 1190000 documents (6231.11 docs/s, 28.16 MB/s)
Processed 1200000 documents (5902.48 docs/s, 26.71 MB/s)
Processed 1210000 documents (5935.01 docs/s, 26.83 MB/s)
Processed 1220000 documents (5968.50 docs/s, 26.96 MB/s)
Processed 1230000 documents (6000.67 docs/s, 27.09 MB/s)
Processed 1240000 documents (6032.41 docs/s, 27.21 MB/s)
Processed 1250000 documents (6063.95 docs/s, 27.33 MB/s)
Processed 1260000 documents (6094.88 docs/s, 27.46 MB/s)
Processed 1270000 documents (6125.60 docs/s, 27.58 MB/s)
Processed 1280000 documents (6153.76 docs/s, 27.71 MB/s)
Processed 1290000 documents (6182.64 docs/s, 27.85 MB/s)
Processed 1300000 documents (6210.58 docs/s, 27.97 MB/s)
Processed 1310000 documents (6219.86 docs/s, 28.01 MB/s)
Processed 1320000 documents (6216.93 docs/s, 28.00 MB/s)
Processed 1330000 documents (6213.09 docs/s, 27.98 MB/s)
Processed 1340000 documents (6205.48 docs/s, 27.93 MB/s)
Processed 1350000 documents (6207.50 docs/s, 27.93 MB/s)
Processed 1360000 documents (6226.35 docs/s, 28.00 MB/s)
Processed 1370000 documents (6199.37 docs/s, 27.88 MB/s)
Processed 1380000 documents (6225.31 docs/s, 27.99 MB/s)
Processed 1390000 documents (6217.95 docs/s, 27.95 MB/s)
Processed 1400000 documents (6232.50 docs/s, 28.01 MB/s)
Processed 1410000 documents (6229.54 docs/s, 27.99 MB/s)
Processed 1420000 documents (6223.16 docs/s, 27.96 MB/s)
Processed 1430000 documents (6185.92 docs/s, 27.79 MB/s)
Processed 1440000 documents (6212.49 docs/s, 27.90 MB/s)
Processed 1450000 documents (6237.86 docs/s, 28.02 MB/s)
Processed 1460000 documents (6243.42 docs/s, 28.05 MB/s)
Processed 1470000 documents (6240.61 docs/s, 28.03 MB/s)
Processed 1480000 documents (6219.61 docs/s, 27.93 MB/s)
Processed 1490000 documents (6229.95 docs/s, 27.96 MB/s)
Processed 1500000 documents (6231.93 docs/s, 27.97 MB/s)
Processed 1510000 documents (6227.11 docs/s, 27.95 MB/s)
Processed 1520000 documents (6175.13 docs/s, 27.72 MB/s)
Processed 1530000 documents (6200.12 docs/s, 27.82 MB/s)
Processed 1540000 documents (6225.06 docs/s, 27.93 MB/s)
Processed 1550000 documents (6244.27 docs/s, 28.01 MB/s)
Processed 1560000 documents (6242.19 docs/s, 28.00 MB/s)
Processed 1570000 documents (6245.63 docs/s, 28.01 MB/s)
Processed 1580000 documents (6234.00 docs/s, 27.95 MB/s)
Processed 1590000 documents (6229.78 docs/s, 27.94 MB/s)
Processed 1600000 documents (6252.18 docs/s, 28.04 MB/s)
Processed 1610000 documents (6252.86 docs/s, 28.04 MB/s)
Processed 1620000 documents (6248.79 docs/s, 28.02 MB/s)
Processed 1630000 documents (6231.03 docs/s, 27.94 MB/s)
Processed 1640000 documents (6254.16 docs/s, 28.03 MB/s)
Processed 1650000 documents (6230.23 docs/s, 27.94 MB/s)
Processed 1660000 documents (6215.90 docs/s, 27.91 MB/s)
Processed 1670000 documents (6222.84 docs/s, 27.98 MB/s)
Processed 1680000 documents (6201.47 docs/s, 27.91 MB/s)
Processed 1690000 documents (6186.64 docs/s, 27.87 MB/s)
Processed 1700000 documents (6208.33 docs/s, 27.97 MB/s)
Processed 1710000 documents (6185.38 docs/s, 27.87 MB/s)
Processed 1720000 documents (6207.02 docs/s, 27.96 MB/s)
Processed 1730000 documents (6201.71 docs/s, 27.93 MB/s)
Processed 1740000 documents (6198.64 docs/s, 27.92 MB/s)
Processed 1750000 documents (6196.60 docs/s, 27.90 MB/s)
Processed 1760000 documents (6202.10 docs/s, 27.92 MB/s)
Processed 1770000 documents (6195.50 docs/s, 27.89 MB/s)
Processed 1780000 documents (6199.62 docs/s, 27.92 MB/s)
Processed 1790000 documents (6205.63 docs/s, 27.94 MB/s)
Processed 1800000 documents (6189.67 docs/s, 27.86 MB/s)
Processed 1810000 documents (6199.69 docs/s, 27.91 MB/s)
Processed 1820000 documents (6176.12 docs/s, 27.81 MB/s)
Processed 1830000 documents (6161.67 docs/s, 27.74 MB/s)
Processed 1840000 documents (6182.49 docs/s, 27.83 MB/s)
Processed 1850000 documents (6203.52 docs/s, 27.92 MB/s)
Processed 1860000 documents (6210.57 docs/s, 27.95 MB/s)
Processed 1870000 documents (6208.17 docs/s, 27.93 MB/s)
Processed 1880000 documents (6203.29 docs/s, 27.91 MB/s)
Processed 1890000 documents (6209.59 docs/s, 27.93 MB/s)
Processed 1900000 documents (6210.25 docs/s, 27.94 MB/s)
